"","reclat","reclong","lat_lng"
"2235",-76.7047,159.3233,"-76.7047,159.3233"
"2236",-76.7019,159.3944,"-76.7019,159.3944"
"2237",-76.6931,159.3267,"-76.6931,159.3267"
"2238",-76.7025,159.3667,"-76.7025,159.3667"
"2239",-76.7036,159.3344,"-76.7036,159.3344"
"2240",-76.7053,159.3269,"-76.7053,159.3269"
"2241",-76.7028,159.3933,"-76.7028,159.3933"
"2242",-76.6897,159.3633,"-76.6897,159.3633"
"2243",-76.6819,159.32,"-76.6819,159.32"
"2244",-76.6956,159.3555,"-76.6956,159.3555"
"2245",-76.7019,159.3939,"-76.7019,159.3939"
"2246",-76.7031,159.3928,"-76.7031,159.3928"
"2247",-76.6997,159.0989,"-76.6997,159.0989"
"2248",-76.7022,159.3661,"-76.7022,159.3661"
"2249",-76.6992,159.3578,"-76.6992,159.3578"
"2250",-76.7089,159.3117,"-76.7089,159.3117"
"2251",-76.6983,159.3406,"-76.6983,159.3406"
"2252",-76.7039,159.18,"-76.7039,159.18"
"2253",-76.7019,159.3683,"-76.7019,159.3683"
"2254",-76.7006,159.4011,"-76.7006,159.4011"
"2255",-76.6903,159.3642,"-76.6903,159.3642"
"2256",-76.6892,159.365,"-76.6892,159.365"
"2257",-76.7031,159.3708,"-76.7031,159.3708"
"2258",-76.7028,159.4014,"-76.7028,159.4014"
"2259",-76.7017,159.3689,"-76.7017,159.3689"
"2260",-76.7019,159.3647,"-76.7019,159.3647"
"2261",-76.7047,159.3239,"-76.7047,159.3239"
"2262",-76.6894,159.3633,"-76.6894,159.3633"
"2263",-76.6981,159.3419,"-76.6981,159.3419"
"2264",-76.6953,159.3561,"-76.6953,159.3561"
"2265",-76.7019,159.3686,"-76.7019,159.3686"
"2266",-76.7739,159.275,"-76.7739,159.275"
"2267",-76.6903,159.2525,"-76.6903,159.2525"
"2268",-76.7739,159.2761,"-76.7739,159.2761"
"2269",-76.7283,159.2928,"-76.7283,159.2928"
"2270",-76.7742,159.2756,"-76.7742,159.2756"
"2271",-76.6903,159.2544,"-76.6903,159.2544"
"2272",-76.7711,159.2872,"-76.7711,159.2872"
"2273",-76.7714,159.2883,"-76.7714,159.2883"
"2274",-76.7733,159.2817,"-76.7733,159.2817"
"2275",-76.7519,159.3247,"-76.7519,159.3247"
"2276",-76.7736,159.2756,"-76.7736,159.2756"
"2277",-76.7728,159.2831,"-76.7728,159.2831"
"2278",-76.7728,159.2842,"-76.7728,159.2842"
"2279",-76.7739,159.2772,"-76.7739,159.2772"
"2280",-76.7736,159.2806,"-76.7736,159.2806"
"2281",-76.7736,159.2786,"-76.7736,159.2786"
"2282",-76.7597,159.3103,"-76.7597,159.3103"
"2283",-76.7722,159.2858,"-76.7722,159.2858"
"2284",-76.7733,159.2819,"-76.7733,159.2819"
"2285",-76.71,159.3692,"-76.71,159.3692"
"2286",-76.6961,159.3433,"-76.6961,159.3433"
"2287",-76.6894,159.3689,"-76.6894,159.3689"
"2288",-76.6964,159.3294,"-76.6964,159.3294"
"2289",-76.7719,159.2853,"-76.7719,159.2853"
"2290",-76.7411,159.2967,"-76.7411,159.2967"
"2291",-76.6894,159.2561,"-76.6894,159.2561"
"2292",-76.6886,159.2567,"-76.6886,159.2567"
"2293",-76.6853,159.2583,"-76.6853,159.2583"
"2294",-76.6906,159.3725,"-76.6906,159.3725"
"2295",-76.6894,159.3692,"-76.6894,159.3692"
"2296",-76.7611,159.3442,"-76.7611,159.3442"
"2297",-76.6908,159.3725,"-76.6908,159.3725"
"2298",-76.7011,159.4031,"-76.7011,159.4031"
"2299",-76.6601,159.3278,"-76.6601,159.3278"
"2300",-76.7058,159.2508,"-76.7058,159.2508"
"2301",-76.8184,158.1734,"-76.8184,158.1734"
"2302",-76.8302,158.2589,"-76.8302,158.2589"
"2303",-76.6919,159.268,"-76.6919,159.268"
"2304",-76.6897,159.2492,"-76.6897,159.2492"
"2305",-76.6944,159.3911,"-76.6944,159.3911"
"2306",-76.6978,159.3039,"-76.6978,159.3039"
"2307",-76.6889,159.3789,"-76.6889,159.3789"
"2308",-76.7261,159.4103,"-76.7261,159.4103"
"2309",-76.7053,159.305,"-76.7053,159.305"
"2310",-76.7476,158.8434,"-76.7476,158.8434"
"2311",-76.7114,159.3589,"-76.7114,159.3589"
"2312",-76.7137,158.7813,"-76.7137,158.7813"
"2313",-76.7329,158.807,"-76.7329,158.807"
"2314",-76.7736,159.2775,"-76.7736,159.2775"
"2315",-76.826,158.1941,"-76.826,158.1941"
"2316",-76.8274,158.2112,"-76.8274,158.2112"
"2317",-76.6933,159.0767,"-76.6933,159.0767"
"2318",-76.8308,158.2306,"-76.8308,158.2306"
"2319",-76.8285,158.2252,"-76.8285,158.2252"
"2320",-76.83,158.2216,"-76.83,158.2216"
"2321",-76.6784,159.2661,"-76.6784,159.2661"
"2322",-76.6939,159.3731,"-76.6939,159.3731"
"2323",-76.6814,159.3467,"-76.6814,159.3467"
"2324",-76.69,159.263,"-76.69,159.263"
"2325",-76.6897,159.2775,"-76.6897,159.2775"
"2326",-76.7014,159.3886,"-76.7014,159.3886"
"2327",-76.705,159.3794,"-76.705,159.3794"
"2328",-76.6981,159.3875,"-76.6981,159.3875"
"2329",-76.7218,158.7582,"-76.7218,158.7582"
"2330",-76.7294,158.8003,"-76.7294,158.8003"
"2331",-76.6969,159.2678,"-76.6969,159.2678"
"2332",-76.7178,158.7096,"-76.7178,158.7096"
"2333",-76.6897,159.2658,"-76.6897,159.2658"
"2334",-76.6933,159.1833,"-76.6933,159.1833"
"2335",-76.6846,159.2611,"-76.6846,159.2611"
"2336",-76.7219,158.7616,"-76.7219,158.7616"
"2337",-76.7222,158.7632,"-76.7222,158.7632"
"2338",-76.7185,158.7646,"-76.7185,158.7646"
"2339",-76.7194,158.7651,"-76.7194,158.7651"
"2340",-76.7103,158.7838,"-76.7103,158.7838"
"2341",-76.7142,158.7785,"-76.7142,158.7785"
"2342",-76.7106,158.785,"-76.7106,158.785"
"2343",-76.7214,158.7621,"-76.7214,158.7621"
"2344",-76.7101,158.7825,"-76.7101,158.7825"
"2345",-76.711,158.7864,"-76.711,158.7864"
"2346",-76.7107,158.7863,"-76.7107,158.7863"
"2347",-76.718,158.8072,"-76.718,158.8072"
"2348",-76.6889,159.3589,"-76.6889,159.3589"
"2349",-76.6842,159.3567,"-76.6842,159.3567"
"2350",-76.6856,159.3575,"-76.6856,159.3575"
"2351",-76.6856,159.3578,"-76.6856,159.3578"
"2352",-76.7175,158.7324,"-76.7175,158.7324"
"2353",-76.7174,158.7334,"-76.7174,158.7334"
"2354",-76.7017,159.4008,"-76.7017,159.4008"
"2355",-76.6582,159.3209,"-76.6582,159.3209"
"2356",-76.6584,159.3198,"-76.6584,159.3198"
"2357",-76.6933,159.383,"-76.6933,159.383"
"2358",-76.6881,159.3608,"-76.6881,159.3608"
"2359",-76.6955,159.3308,"-76.6955,159.3308"
